⋯你個頭,nei5 go3 tau4
痶,din2
痶牀痶席,din2 cong4 din2 zek6
痶癮,din2 jan5
痾勃勃,o1 but6 but6
痾尿唔出賴風猛,o1 niu6 m4 ceot1 laai6 fung1 maang5
瘦骨拉柴,sau3 gwat1 laai4 caai4
癪,zik1
發䒐䒏,faat3 mang2 zang2
發仔狂,faat3 zai2 kwong4
發女狂,faat3 neoi5 kwong4
發姣發躉,faat3 haau4 faat3 dan3
發蹄騰,faat3 ti4 tang4
白賴晒,baak6 laai4 saai4
白頭人送黑頭終,baak6 tau4 jan4 sung3 hak1 tau4 zung1,baak6 tau4 jan4 sung3 haak1 tau4 zung1
白𩶘,baak6 laap6
百加利,baak3 gaa1 lei2,baak3 gaa1 lei6
皇家垃圾,wong4 gaa1 laap6 saap3
監粗嚟呀,gaam3 cou1 li4 jaa4,gaam6 cou1 li4 jaa4
真·,zan1 dim2
眾説紛紜,zung3 syut3 fan1 wan4
睇⋯頭,tai2 tau2
睇在⋯份上,tai2 zoi6 fan6 soeng6
督口督鼻,duk1 hau2 duk1 bei6
睬⋯都有味,coi2 dou1 jau5 mei6
瞞税,mun4 seoi3
瞸,hip3
瞸埋眼,hip1 maai4 ngaan5
矮茄,ai2 ke2
矯揉做作,giu1 jau4 zou6 zok3
砂帶機,saa1 daai3 gei1
砂紙機,saa1 zi2 gei1
砸界,zaak3 gaai3,zaak6 gaai3
硬摑摑,ngaang6 gwak6 gwak6,ngaang6 gwang6 gwang6
碇方,deng6 fong1
碌吉,luk1 git6
碌死老鼠,luk1 sei2 lou5 syu2
磨灰,mo4 fui1
祕書台,bei3 syu1 toi4
神枱桔,san4 toi2 gat1
税務師,seoi3 mou6 si1
税基,seoi3 gei1
税階,seoi3 gaai1
稟神咁聲,ban2 san4 gam4 seng1
窗鈎,coeng1 ngau1
窩河,wo1 ho2,wo1 ho5
窮風流餓快活,kung4 fung1 lau4 ngo6 faai3 wut6
窺覬,kwai1 gei3
竹籮打水,zuk1 lo1 daa2 seoi2
竻,lak1
笑𫬷𫬷,siu3 ke4 ke4
笝,naap3
笡,ce3
笭,leng1
等閑之輩,dang2 haan4 zi1 bui3
箍筍,ku1 seon2
篤鼻哥,duk1 bei6 go1
篦,bei6,bei2
精精哋,zeng1 zeng1 dei2
糖葱餅,tong4 cung1 beng2
納税,naap6 seoi3
